X,Y,Z,VX,VY,VZ
-149630711.2948904,-5545507.775808839,7368.776064988226,0.8215515708371977,-29.88782366096352,0.002069324640226355
-149537372.7755025,-8126714.296262763,7537.98723422084,1.338942881058524,-29.86075617619085,0.001846283823581985
-149399366.2484834,-10705175.28408405,7687.716207145248,1.855491073027169,-29.82427407639785,0.00161985087554406
-149216775.4532494,-13280078.72944299,7818.058835229836,2.370944413801514,-29.77841317258907,0.001399015386995828
-148989705.7378919,-15850616.51415669,7929.881686368026,2.885054729025233,-29.72322764671252,0.001192600384163356
-148718283.6810559,-18415985.97307878,8024.80085358303,3.397578969662321,-29.65878944083094,0.001009110945117797
-148402656.5976509,-20975391.4058655,8105.149395009503,3.908280330094812,-29.58518779755975,0.0008566231639441924
-148042991.9628972,-23528045.57383762,8173.936614274979,4.416929081448276,-29.50252946142861,0.0007427012888019391
-147639476.757087,-26073171.25955401,8234.79973747395,4.923303709075316,-29.41093998392488,0.0006742928101886037
-147192316.6635424,-28610002.99246477,8291.942464411259,5.427193376018815,-29.3105662347152,0.0006575114893578871
-146701734.9489421,-31137789.02611655,8350.045664343983,5.928403046522202,-29.20157953906056,0.0006971881696493654
-146167970.7383552,-33655793.5585103,8414.124821268022,6.426762548045292,-29.08417778298714,0.0007960706430427678
-145591276.3164967,-36163298.9860641,8489.301028402522,6.92213998216428,-28.95858347294692,0.0009536267881440352
-144971913.1357113,-38659607.67135646,8580.455731607974,7.41445768444674,-28.82503373292671,0.001164598651151039
-144310146.5135483,-41144042.37136355,8691.765280423686,7.903705379469395,-28.68375898414741,0.001417773526306121
-143606239.6192975,-43615944.34426636,8826.165771042928,8.38994192196351,-28.53495123899903,0.001695740438279358
-142860448.1059557,-46074668.5386038,8984.86717774719,8.873277711742439,-28.37873030198787,0.001976361227592704
-142073017.1490431,-48519576.27989084,9167.074901975691,9.353837478536288,-28.21512217442837,0.002236027309361788
-141244182.177558,-50950027.08740813,9370.038269903513,9.831714774454406,-28.04406177123844,0.002453731018281502
-140374173.250904,-53365371.84234554,9589.428882110864,10.30693597814678,-27.86542032215539,0.002614368540530876
-139463221.6408259,-55764948.97044178,9819.925845798103,10.77944635404439,-27.67904499262721,0.002710118799926775
-138511566.6220496,-58148083.97933403,10055.83128852397,11.24911813303528,-27.48479452702347,0.002739849361635294
-137519460.9414447,-60514091.51419637,10291.57722545043,11.71577107946633,-27.28256106238777,0.002707365542562457
-136487174.3719331,-62862278.64749908,10522.0666702278,12.17919471862769,-27.0722773742759,0.00261946285872483
-135414995.5318414,-65191948.32785859,10742.86140957102,12.63916559673647,-26.85391428826726,0.002484387323464787
-134303232.5066705,-67502402.38547288,10950.2620591335,13.09545774961836,-26.62747383621027,0.002310883742849157
-133152212.826627,-69792943.91304857,11141.32883355394,13.54784745267374,-26.39298213271148,0.002107749441245588
-131962283.208035,-72062879.09765741,11313.87937173247,13.99611428560672,-26.15048398507356,0.001883718988379357
-130733809.2913152,-74311518.68676136,11466.48469467461,14.44004043075814,-25.90003983102953,0.001647511046371619
-129467175.4622591,-76538179.2845155,11598.47142242268,14.87940964189001,-25.64172479597695,0.001407908807745883
-128162784.7417434,-78742184.63761075,11709.92922609672,15.31400680423413,-25.3756292778022,0.001173790330005531
-126821058.6697805,-80922867.01149933,11801.7170525305,15.74361854804729,-25.10186033078234,0.0009540657503244176
-125442437.0872176,-83079568.69515008,11875.4595085308,16.16803498774408,-24.82054315106986,0.0007575135427622115
-124027377.7259504,-85211643.61875153,11933.5253626816,16.58705235932163,-24.53182213928581,0.0005925352352633695
-122576355.5459897,-87318459.03500678,11978.98253177851,17.00047617711974,-24.23586129547069,0.0004668622406356349
-121089861.7898833,-89399397.20685159,12015.52679790556,17.40812458040737,-23.93284400421853,0.0003872445306605243
-119568402.7438,-91453857.0591486,12047.38321839646,17.80983179412104,-23.62297246309953,0.000359128399507469
-118012498.1852383,-93481255.77388522,12079.17839349061,18.20545200445988,-23.30646695988379,0.0003862967983021548
-116422679.4559973,-95481030.31227703,12115.77808253467,18.59486427909017,-22.9835648240101,0.0004704160282233971
-114799487.0398967,-97452638.80354647,12162.07937173545,18.97797919906644,-22.65451816965986,0.0006104291602238021
-113143467.485569,-99395561.62633812,12222.743115291,19.35474731826261,-22.31958867819304,0.0008017864210572156
-111455169.5585353,-101309301.8275918,12301.85640797019,19.72516816577569,-21.97903708396048,0.001035629591763509
-109735139.7081923,-103193384.3328625,12402.53314892203,20.08929632512195,-21.63310555140056,0.001298245001445153
-107983917.3299626,-105047353.3395246,12526.49654404074,20.44723908730728,-21.28199370225362,0.001571283858883277
-106202030.7957595,-106870767.5401245,12673.73203458637,20.79914034908886,-20.92583369622336,0.001833232111316363
-104389995.5272593,-108663193.4965821,12842.32634913176,21.14514989820112,-20.56467417265932,0.002062206001617994
-102548315.1267108,-110424198.3732049,13028.58467046171,21.48538522607851,-20.19848266813781,0.00223942418466816
-100677485.6553358,-112153343.8007288,13227.43395213038,21.81989924856097,-19.82716888436479,0.002352142291018211
-98778001.99164212,-113850182.392444,13433.01541759819,22.14866581442242,-19.45062073465877,0.002394972999496758
-96850364.53188528,-115514257.4308509,13639.30856693536,22.47158583835067,-19.06873939084031,0.002369335174518206
-94895084.68862124,-117145105.1232861,13840.64663629979,22.78850734245122,-18.68146251140734,0.002281641462641204
-92912688.43186916,-118742258.2194063,14032.05496982485,23.09924907825652,-18.28877270381749,0.002141160678686305
-90903717.93204825,-120305249.8350594,14209.41760338098,23.4036199406096,-17.89069474001522,0.001958260782801702
-88868731.83306822,-121833616.7563022,14369.51986982673,23.70143111480218,-17.48728723755222,0.001743309450616515
-86808304.77917036,-123326901.9620156,14510.02344946563,23.99250147584396,-17.07863350791224,0.00150618504851785
-84723026.69433264,-124784656.4231882,14629.41896732152,24.27665830003472,-16.6648342503928,0.001256211153958908
-82613502.1224641,-126206440.3911885,14726.98395045847,24.55373548309984,-16.24600309361982,0.001002315536480225
-80480349.76388662,-127591824.4262722,14802.75828095526,24.82357102907134,-15.82226498941652,0.0007532533845253653
-78324202.21301557,-128940390.3939593,14857.53741391748,25.08600507859715,-15.39375696828648,0.0005177794231432387
-76145705.81085218,-130251732.6027038,14892.87532612681,25.34087933614397,-14.96063051653181,0.0003046907662369591
-73945520.46711433,-131525459.1851877,14911.08382374793,25.58803839970067,-14.52305467947429,0.0001226949225472396
-71724319.27919693,-132761193.7438609,14915.2123580575,25.82733312188146,-14.08121891017926,-1.990816098462744e-05
-69482787.78165954,-133958577.1973735,14908.9931615442,26.05862572026484,-13.63533472875374,-0.0001157033259229223
-67221622.70113388,-135117269.6925973,14896.74036580324,26.28179598277952,-13.18563549541938,-0.0001587359148524925
-64941530.15829201,-136236952.4034519,14883.19794245809,26.49674771789188,-12.73237400689036,-0.0001451074334042346
-62643223.33053899,-137317329.0316283,14873.33795068413,26.70341468121452,-12.27581804966402,-7.352041055774805e-05
-60327419.64289704,-138358126.8476911,14872.11552548409,26.90176552684825,-11.8162442680884,5.426910768768778e-05
-57994837.57833692,-139359097.1392612,14884.18924116343,27.09180766078832,-11.35393058178504,0.0002331030610411844
-55646193.20505781,-140320014.9369462,14913.61611527205,27.27358989886912,-10.88914698315976,0.0004541868108347558
-53282196.54439607,-141240677.8568576,14963.5330336988,27.44720332643072,-10.42214419709443,0.0007050254012876955
-50903547.99450675,-142120903.8575774,15035.84490741044,27.6127788003759,-9.953139914322016,0.0009696751340664278
-48510935.20031349,-142960527.7308107,15130.9560193792,27.77047868657577,-9.48230357248756,0.001229530913610777
-46105030.96847508,-143759396.3204101,15247.59994265437,27.92048070073582,-9.009742874767904,0.001464840804269674
-43686492.92598208,-144517362.8366624,15382.83201716095,28.0629540477347,-8.535497292266015,0.001656921290947633
-41255965.43440439,-145234281.1043782,15532.23039298505,28.19803214659371,-8.059543692472827,0.001790669358975094
-38814083.73189045,-145910000.8951942,15690.30131955445,28.32578978559716,-7.581815581765937,0.001856644991907519
-36361479.56733648,-146544365.3710472,15851.01922936738,28.44623244164068,-7.102231513291454,0.001852017050822496
-33898787.09873933,-147137211.0667947,16008.38762785494,28.55930079984887,-6.620723859739883,0.001780105629768158
-31426647.84614933,-147688370.0599,16156.90966953337,28.66488710591151,-6.137259571103796,0.001648844140301975
-28945713.97743616,-148197673.4300368,16291.90311852098,28.76285610969561,-5.651849116350917,0.001468834825463894
-26456649.84201735,-148664955.0167287,16409.65328659117,28.85306375539141,-5.164545006563385,0.001251626993383326
-23960132.13466045,-149090054.7495391,16507.44021815807,28.93536987735221,-4.675434168408859,0.001008556656338033
-21456849.24844379,-149472821.2156619,16583.49213404953,29.00964439774569,-4.184628556636997,0.0007501875309268158
-18947500.32527751,-149813113.4548038,16636.91198897362,29.07576844856426,-3.692257018844424,0.0004862177361597553
-16432794.35656159,-150110802.1626788,16667.60934252292,29.13363242195875,-3.19845987716326,0.0002256651831684664
-13913449.51759052,-150365770.5598128,16676.25404584408,29.18313278430555,-2.703386598399525,-2.283821568016542e-05
-11390192.77669344,-150577915.1854468,16664.25508235395,29.22416911697938,-2.207196318782754,-0.0002507781693080746
-8863759.707950488,-150747146.8405972,16633.75760535896,29.25664253424188,-1.7100606543941,-0.0004496207660077411
-6334894.347360429,-150873391.8431098,16587.64310123026,29.28045639202672,-1.212167944472266,-0.0006108893100074675
-3804348.86481658,-150956593.6697426,16529.51152461767,29.29551991445764,-0.7137277389141553,-0.0007265109826682381
-1272882.789505179,-150996714.942727,16463.62126315385,29.30175487080293,-0.2149740114017858,-0.0007894426833213591
1258738.453853254,-150993739.579545,16394.76488967985,29.29910467123841,0.283834536063859,-0.0007945144196543352
3789745.84738034,-150947674.7946311,16328.06753183156,29.28754436260849,0.7824183583573218,-0.0007393471802876195
6319369.908269517,-150858552.5669901,16268.70984938741,29.26708936686918,1.280485505102346,-0.0006251449043657709
8846844.438739179,-150726430.2091686,16221.59528055787,29.23780082251865,1.77774373949702,-0.0004571641867877618
11371410.53790667,-150551389.7954493,16190.99539034814,29.19978617721487,2.273914464883874,-0.0002447402480444394
13892320.44970603,-150333536.3868211,16180.21291672438,29.15319486815449,2.768746316748372,-8.582784236654817e-07
16408840.85139381,-150072995.1580314,16191.29895781726,29.09820986544535,3.262026778846829,0.0002586546941381052
18920255.27028754,-149769907.6397718,16224.85281506926,29.03503610380988,3.753590959224557,0.0005162204037667539
21425865.39392691,-149424427.3417671,16279.92568124086,28.96388652170506,4.243327066645859,0.0007538143237635353
23924991.08719288,-149036715.0684608,16354.04473683983,28.88496617788905,4.731177887889325,0.0009544394173355286
26416968.98279729,-148606934.3222201,16443.36910357326,28.79845534133474,5.217137056122413,0.001103682801593786
28901149.63570047,-148135247.2986412,16542.97736728191,28.70449361788576,5.701238946441442,0.001191161978366662
31376893.46499115,-147621812.0341924,16647.26473175734,28.60316834711619,6.18354229219424,0.00121156212684026
33843565.99848222,-147066781.1651423,16750.40113952011,28.4945105091113,6.664109856979246,0.001164970295790546
36300533.15027156,-146470302.4621672,16846.78247509897,28.37849959208682,7.142988465591033,0.001056381786469718
38747157.26405506,-145832520.9062672,16931.40759354085,28.25507596762897,7.620193959530013,0.0008945227870462702
41182794.41690009,-145153581.7424854,17000.13661491126,28.12415694343135,8.095703839690374,0.0006903489891949555
43606793.10815959,-144433633.8287728,17049.8203637749,27.98565210256312,8.569457562881693,0.0004556257597654323
46018494.12219167,-143672832.7051137,17078.32164564729,27.83947477072417,9.041362230088136,0.0002018768643297086
48417231.1653135,-142871343.0492069,17084.46593151242,27.68554843442614,9.51130059345871,-6.019600066409225e-05
50802331.85219423,-142029340.4387284,17067.96081826091,27.52380858877245,9.979138734682598,-0.0003208726562342612
53173118.70160305,-141147012.5284878,17029.31541056931,27.35420136327189,10.44473173437731,-0.0005712809532965046
55528909.93035056,-140224559.8547153,16969.77864708006,27.17668047815529,10.90792656842421,-0.0008031152785124007
57869019.96446893,-139262196.5153586,16891.30350188911,26.9912039675694,11.36856209716503,-0.001008339757558652
60192759.70379237,-138260150.9685635,16796.53322400153,26.79773195290285,11.8264664124547,-0.001178993554933783
62499436.68285342,-137218667.1536809,16688.79606508464,26.59622666370026,12.28145216282976,-0.001307206520763771
64788355.37081064,-136138006.0657847,16572.08599749207,26.38665579972809,12.73331096718106,-0.001385522243722015
67058817.93495661,-135018447.790622,16450.99978531897,26.16899996706303,13.18180870150198,-0.001407590449863605
69310125.82137844,-133860293.8228554,16330.59864685684,25.94326401824991,13.62668409740058,-0.001369206148231328
71541582.42915665,-132663869.2682932,16216.17044902593,25.70949058905564,14.06765321273282,-0.001269531959066761
73752496.92981043,-131429524.3442609,16112.88946089149,25.46777237324774,14.50442129974846,-0.001112182938458162
75942188.93394443,-130157634.5548145,16025.40278444439,25.21825873607571,14.93670122357176,-0.0009057740516267287
