            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458861.500000000, A.D. 2020-Jan-13 00:00:00.0000, -5.561818329530943E+07,  1.375458679939717E+08, -2.529929738856852E+03, -2.811851829096062E+01, -1.124975672157970E+01,  1.201749588188861E-04,  4.948932117786664E+02,  1.483652524066409E+08,  1.115042150104280E-01,
2458862.500000000, A.D. 2020-Jan-14 00:00:00.0000, -5.803904915462223E+07,  1.365527917533976E+08, -2.509260218843818E+03, -2.791866669661316E+01, -1.173762373321474E+01,  3.661712076166168E-04,  4.949263505932279E+02,  1.483751871733136E+08,  1.183997057102062E-01,
2458863.500000000, A.D. 2020-Jan-15 00:00:00.0000, -6.044228919602636E+07,  1.355176930811735E+08, -2.465534527793527E+03, -2.771049132797861E+01, -1.222248621978877E+01,  6.509833694137157E-04,  4.949614120210228E+02,  1.483856983249332E+08,  1.248259973267360E-01,
2458864.500000000, A.D. 2020-Jan-16 00:00:00.0000, -6.282717837400158E+07,  1.344408356129719E+08, -2.396184086896479E+03, -2.749385492691367E+01, -1.270423967104470E+01,  9.561267318725086E-04,  4.949982451734986E+02,  1.483967406262498E+08,  1.306816315945747E-01,
2458865.500000000, A.D. 2020-Jan-17 00:00:00.0000, -6.519297978435007E+07,  1.333224947863264E+08, -2.300285245716572E+03, -2.726862410279854E+01, -1.318271629002796E+01,  1.262374599650506E-03,  4.950366763917855E+02,  1.484082620156439E+08,  1.359104463332712E-01,
2458866.500000000, A.D. 2020-Jan-18 00:00:00.0000, -6.753894590541910E+07,  1.321629629636444E+08, -2.178535635016859E+03, -2.703468918202480E+01, -1.365769414144041E+01,  1.551699436292964E-03,  4.950765222807086E+02,  1.484202075126254E+08,  1.405002877954773E-01,
2458867.500000000, A.D. 2020-Jan-19 00:00:00.0000, -6.986432124146639E+07,  1.309625535369869E+08, -2.033088555023074E+03, -2.679197674778075E+01, -1.412891075912126E+01,  1.808601183263647E-03,  4.951176015544611E+02,  1.484325227690766E+08,  1.444766578982200E-01,
2458868.500000000, A.D. 2020-Jan-20 00:00:00.0000, -7.216834575798875E+07,  1.297216038167827E+08, -1.867298821792006E+03, -2.654045574452804E+01, -1.459607718634988E+01,  2.020850531233798E-03,  4.951597447335998E+02,  1.484451569763384E+08,  1.478946256818997E-01,
2458869.500000000, A.D. 2020-Jan-21 00:00:00.0000, -7.445025864268567E+07,  1.284404767650787E+08, -1.685423688217998E+03, -2.628013926903580E+01, -1.505889053338131E+01,  2.179816364694886E-03,  4.952028015231990E+02,  1.484580650771260E+08,  1.508310269256324E-01,
2458870.500000000, A.D. 2020-Jan-22 00:00:00.0000, -7.670930210117954E+07,  1.271195617196739E+08, -1.492307520493865E+03, -2.601108379611366E+01, -1.551704482687110E+01,  2.280534407393731E-03,  4.952466460646904E+02,  1.484712093399895E+08,  1.533775067689052E-01,
2458871.500000000, A.D. 2020-Jan-23 00:00:00.0000, -7.894472500597136E+07,  1.257592742403084E+08, -1.293068695977330E+03, -2.573338660629404E+01, -1.597024054714374E+01,  2.321592708842246E-03,  4.952911802747661E+02,  1.484845603602932E+08,  1.556341305536076E-01,
2458872.500000000, A.D. 2020-Jan-24 00:00:00.0000, -8.115578624831116E+07,  1.243600551802970E+08, -1.092803930118680E+03, -2.544718146088716E+01, -1.641819299839809E+01,  2.304840715154910E-03,  4.953363353808868E+02,  1.484980975205484E+08,  1.577032291488656E-01,
2458873.500000000, A.D. 2020-Jan-25 00:00:00.0000, -8.334175763790700E+07,  1.229223690982920E+08, -8.963257466033101E+02, -2.515263247705181E+01, -1.686063910632110E+01,  2.234913316024212E-03,  4.953820717203799E+02,  1.485118089301850E+08,  1.596835602846855E-01,
2458874.500000000, A.D. 2020-Jan-26 00:00:00.0000, -8.550192620720455E+07,  1.214467021764378E+08, -7.079483078941703E+02, -2.484992658204210E+01, -1.729734192673814E+01,  2.118596209990997E-03,  4.954283769632853E+02,  1.485256908927739E+08,  1.616653240759215E-01,
2458875.500000000, A.D. 2020-Jan-27 00:00:00.0000, -8.763559583437763E+07,  1.199335598688535E+08, -5.313322522118688E+02, -2.453926548079579E+01, -1.772809233016409E+01,  1.964111655827772E-03,  4.954752631072472E+02,  1.485397470051183E+08,  1.637267354628244E-01,
