            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458861.500000000, A.D. 2020-Jan-13 00:00:00.0000, -6.378400940518944E+07, -4.537143550888688E+08, -4.533761619778633E+06,  1.276606388443339E+01,  8.059187046809265E+00,  7.832610619578699E-01,  1.528384972626240E+03,  4.581982877138832E+08, -9.765184269065916E+00,
2458862.500000000, A.D. 2020-Jan-14 00:00:00.0000, -6.268069781668761E+07, -4.530157151768299E+08, -4.466064666772068E+06,  1.277354117823255E+01,  8.113068962948550E+00,  7.837971835745563E-01,  1.525566443640092E+03,  4.573533139811817E+08, -9.794403069008220E+00,
2458863.500000000, A.D. 2020-Jan-15 00:00:00.0000, -6.157674410467978E+07, -4.523124105584686E+08, -4.398321614573419E+06,  1.278092766975941E+01,  8.167166629718444E+00,  7.843281622214811E-01,  1.522739484989156E+03,  4.565058130985531E+08, -9.823683153849549E+00,
2458864.500000000, A.D. 2020-Jan-16 00:00:00.0000, -6.047215616261101E+07, -4.516044225227404E+08, -4.330532910314173E+06,  1.278822224202822E+01,  8.221481674607096E+00,  7.848539334063243E-01,  1.519904078973235E+03,  4.556557797596124E+08, -9.853024786739866E+00,
2458865.500000000, A.D. 2020-Jan-17 00:00:00.0000, -5.936694198118849E+07, -4.508917322172798E+08, -4.262699006741762E+06,  1.279542376053576E+01,  8.276015741460093E+00,  7.853744316081088E-01,  1.517060207816337E+03,  4.548032086352503E+08, -9.882428230525111E+00,
2458866.500000000, A.D. 2020-Jan-18 00:00:00.0000, -5.826110964990859E+07, -4.501743206469800E+08, -4.194820362310350E+06,  1.280253107294643E+01,  8.330770490679408E+00,  7.858895902585488E-01,  1.514207853666765E+03,  4.539480943736638E+08, -9.911893747695377E+00,
2458867.500000000, A.D. 2020-Jan-19 00:00:00.0000, -5.715466735861127E+07, -4.494521686725522E+08, -4.126897441271037E+06,  1.280954300877125E+01,  8.385747599425201E+00,  7.863993417229933E-01,  1.511346998597232E+03,  4.530904316003866E+08, -9.941421600331545E+00,
2458868.500000000, A.D. 2020-Jan-20 00:00:00.0000, -5.604762339906286E+07, -4.487252570090706E+08, -4.058930713765621E+06,  1.281645837903953E+01,  8.440948761821355E+00,  7.869036172811206E-01,  1.508477624604986E+03,  4.522302149183298E+08, -9.971012050050978E+00,
2458869.500000000, A.D. 2020-Jan-21 00:00:00.0000, -5.493998616656714E+07, -4.479935662244959E+08, -3.990920655920863E+06,  1.282327597596414E+01,  8.496375689160411E+00,  7.874023471068750E-01,  1.505599713611947E+03,  4.513674389078217E+08, -1.000066535794811E+01,
2458870.500000000, A.D. 2020-Jan-22 00:00:00.0000, -5.383176416160586E+07, -4.472570767381845E+08, -3.922867749944955E+06,  1.282999457259970E+01,  8.552030110115462E+00,  7.878954602483637E-01,  1.502713247464876E+03,  4.505020981266574E+08, -1.003038178453713E+01,
2458871.500000000, A.D. 2020-Jan-23 00:00:00.0000, -5.272296599150902E+07, -4.465157688193764E+08, -3.854772484225780E+06,  1.283661292249321E+01,  8.607913770952628E+00,  7.883828846071603E-01,  1.499818207935539E+03,  4.496341871101505E+08, -1.006016158969040E+01,
2458872.500000000, A.D. 2020-Jan-24 00:00:00.0000, -5.161360037215582E+07, -4.457696225856671E+08, -3.786635353430659E+06,  1.284312975932898E+01,  8.664028435743877E+00,  7.888645469168321E-01,  1.496914576720911E+03,  4.487637003711915E+08, -1.009000503257256E+01,
2458873.500000000, A.D. 2020-Jan-25 00:00:00.0000, -5.050367612970602E+07, -4.450186180014586E+08, -3.718456858608663E+06,  1.284954379655914E+01,  8.720375886594459E+00,  7.893403727225508E-01,  1.494002335443384E+03,  4.478906324003124E+08, -1.011991237158318E+01,
2458874.500000000, A.D. 2020-Jan-26 00:00:00.0000, -4.939320220236464E+07, -4.442627348763928E+08, -3.650237507293552E+06,  1.285585372704005E+01,  8.776957923851604E+00,  7.898102863573153E-01,  1.491081465650997E+03,  4.470149776657550E+08, -1.014988386427738E+01,
2458875.500000000, A.D. 2020-Jan-27 00:00:00.0000, -4.828218764217730E+07, -4.435019528637645E+08, -3.581977813610107E+06,  1.286205822264858E+01,  8.833776366335766E+00,  7.902742109203449E-01,  1.488151948817694E+03,  4.461367306135468E+08, -1.017991976730214E+01,
2458876.500000000, A.D. 2020-Jan-28 00:00:00.0000, -4.717064161685980E+07, -4.427362514589169E+08, -3.513678298381448E+06,  1.286815593389194E+01,  8.890833051569436E+00,  7.907320682544232E-01,  1.485213766343593E+03,  4.452558856675833E+08, -1.021002033632503E+01,
2458877.500000000, A.D. 2020-Jan-29 00:00:00.0000, -4.605857341166138E+07, -4.419656099976147E+08, -3.445339489238560E+06,  1.287414548951418E+01,  8.948129836004126E+00,  7.911837789219054E-01,  1.482266899555276E+03,  4.443724372297153E+08, -1.024018582595629E+01,
